gene,5pct,10pct,20pct,50pct,80pct,90pct,95pct,0.45ratio_pct,0.48ratio_pct,0.61ratio_pct,0.75ratio_pct,2ratio_pct,2.5ratio_pct
SF3B2,0.02,0.06,0.17,0.94,1.3,1.49,1.68,31.23624358033749,32.04328686720469,35.803374908290536,40.02201027146001,98.27586206896552,99.44974321349963
RPS4X,0.01,0.02,0.05,0.51,1.2,1.4389999999999996,1.7489999999999986,47.613882863340564,48.80694143167028,52.81995661605206,57.80911062906725,96.96312364425162,98.59002169197397
CSE1L,0.02,0.05700000000000045,0.22,1.03,1.5760000000000036,2.0130000000000017,2.52,26.88308038223721,27.965148960089937,31.253513209668352,35.62394603709949,89.78358628442946,94.80044969083755
RPL6,0.01,0.02,0.07,0.8,1.29,1.55,1.79,40.50493962678375,41.10867178924259,44.34687156970362,48.51811196487377,96.81668496158068,98.13391877058177
COPZ1,0.41,0.6500000000000001,0.87,1.16,1.45,1.68,1.940999999999999,5.907397551889303,6.466205428419372,8.594997339010112,13.78392762107504,95.63597658328898,97.92442788717403
PSMB2,0.36,0.6790000000000004,0.9,1.2,1.64,2.03,2.43,6.181318681318682,6.483516483516484,8.667582417582418,12.486263736263735,89.43681318681318,95.59065934065934
RPL7,0.0,0.01,0.03,0.42,1.14,1.4089999999999998,1.7194999999999994,51.433915211970074,52.556109725685786,56.795511221945134,60.224438902743145,96.88279301745636,98.6284289276808
PHB2,0.02,0.04,0.10999999999999999,0.665,1.09,1.28,1.42,40.38184438040346,41.82276657060519,47.622478386167145,54.502881844380404,99.56772334293949,99.92795389048992
ARCN1,0.2715000000000001,0.47,0.76,1.12,1.58,1.96,2.4400000000000004,9.495060373216246,10.181119648737651,14.338638858397365,19.689901207464324,90.61470911086718,95.41712403951702
RPA2,0.13,0.35,0.78,1.11,1.44,1.7199999999999998,2.1529999999999974,11.376564277588168,11.774744027303754,15.870307167235495,19.197952218430036,94.02730375426621,96.64391353811149
NUP98,0.09,0.21,0.55,1.08,1.43,1.6799999999999997,2.04,17.16188524590164,18.171838407494146,21.80913348946136,26.785714285714285,94.62090163934427,97.03600702576112
RPS3,0.03,0.08,0.33400000000000035,1.05,1.47,1.7600000000000002,2.13,22.59663032705649,23.265609514370663,26.734390485629337,31.640237859266602,93.43409316154609,97.42319127849356
EEF2,0.01,0.03,0.09,0.63,1.12,1.31,1.4879999999999973,42.397372742200325,43.74384236453202,49.39244663382594,55.41871921182266,98.91625615763547,99.63875205254516
USP39,0.11000000000000001,0.25,0.66,1.06,1.41,1.64,1.96,15.10840108401084,15.785907859078591,19.128274616079494,24.0063233965673,95.3026196928636,97.6513098464318
PSMD1,0.01,0.02,0.08,0.875,1.45,1.7890000000000008,2.16,38.56300434512725,39.618249534450655,42.194289261328365,45.67039106145251,92.72191185599007,97.17566728739914
NUP93,0.05,0.10999999999999999,0.3520000000000004,1.02,1.38,1.6399999999999997,2.039499999999998,23.04332634521314,23.934311670160728,27.53319357092942,32.6345213137666,94.67155835080364,97.30957372466807
AQR,0.04,0.11,0.42,1.14,1.58,1.935,2.3975,20.77124446234394,21.294804671768023,23.46959323399114,26.75191300845751,90.9585179218687,95.69069673781716
RPL34,0.02,0.06,0.39,1.15,1.7,2.263000000000001,2.7615,21.298405466970387,21.9248291571754,24.658314350797266,28.018223234624145,86.90205011389521,92.59681093394077
PSMA1,0.05,0.14,0.5480000000000002,1.12,1.53,1.8199999999999998,2.1,18.169014084507044,18.97887323943662,21.725352112676056,25.211267605633804,93.59154929577464,98.16901408450704
RPS27A,0.03,0.14,0.63,1.16,1.54,1.9099999999999997,2.415999999999999,16.61807580174927,17.29834791059281,19.825072886297377,24.00388726919339,91.15646258503402,95.6268221574344
